0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:08:08 +0900] "GET /resources/css/com_register.css HTTP/1.1" 200 5633
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:08:08 +0900] "GET /resources/js/community_reg.js HTTP/1.1" 200 3721
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:13:54 +0900] "POST /community/insert HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:13:54 +0900] "GET /community/communitypage HTTP/1.1" 200 5043
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:13:54 +0900] "GET /community/recommendList HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:13:54 +0900] "GET /community/communityList/0 HTTP/1.1" 200 4021
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:13:54 +0900] "POST /community/file HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:13:57 +0900] "GET /community/communitypage HTTP/1.1" 200 5043
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:13:57 +0900] "GET /community/recommendList HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:13:57 +0900] "GET /community/communityList/0 HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:13:57 +0900] "GET /upload/2023/08/06/d8ccd29e-d207-4dbf-9a06-54e72da130bc_p4.png HTTP/1.1" 200 12001
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:14:00 +0900] "GET /community/detail?com_num=13 HTTP/1.1" 200 7165
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:14:00 +0900] "GET /com_comment/commentList/13 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:14:02 +0900] "GET /community/modifypage?com_num=13 HTTP/1.1" 200 7115
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:14:02 +0900] "GET /resources/js/community_mod_del.js HTTP/1.1" 200 5213
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:14:02 +0900] "GET /upload/2023/08/06/d8ccd29e-d207-4dbf-9a06-54e72da130bc_p4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:16:18 +0900] "POST /community/SummerNoteImageFile HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:16:18 +0900] "GET /summernoteImg/6cfb7c92-6bbd-4172-931f-0ef537195b32.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:16:33 +0900] "POST /community/SummerNoteImageFile HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:16:33 +0900] "GET /summernoteImg/ef80cdbd-c34b-4880-b377-6c6e99b762d5.jpg HTTP/1.1" 404 721
